KimurTs95,1939,1,YAM,,3,2,0,0,0,0,0,0,0,,0,0,,0,0,0
KinosIs95,1939,1,OSA,,19,31,5,6,2,0,0,3,0,,6,7,,0,1,0
KinosMa95,1939,1,EAG,,65,201,11,33,5,1,2,17,1,,14,33,,0,2,3
KishiMa95,1939,1,HNK,,6,16,1,2,0,0,0,2,0,,2,3,,0,0,0
KitauMi95,1939,1,TSN,,16,57,6,15,3,0,0,4,4,,11,4,,0,1,0
KitoKa96,1939,1,LIO,,94,365,32,111,15,6,2,48,18,,32,12,,0,2,3
KobayGo95,1939,1,YAM,,96,337,37,77,7,2,0,34,11,,45,19,,2,8,1
KobaySh96,1939,1,NGK,,88,329,27,73,12,2,3,26,7,,19,19,,4,0,1
KobayTo95,1939,1,NGK,,56,183,12,42,4,1,4,24,2,,36,16,,1,1,4
KobayYo95,1939,1,OSA,,2,0,1,0,0,0,0,0,1,,0,0,,0,0,0
KojimTs95,1939,1,TSN,,21,26,1,7,0,0,0,5,2,,6,6,,0,1,0
KondoHi95,1939,1,LIO,,65,101,10,25,5,0,0,10,1,,6,4,,0,1,0
KunihMa95,1939,1,YAM,,94,356,43,96,12,11,1,30,26,,33,29,,1,4,2
KuraNo95,1939,1,KYO,,3,3,0,0,0,0,0,0,0,,0,2,,0,0,0
KuriuNo95,1939,1,YAM,,12,24,0,4,0,0,0,0,1,,2,5,,0,0,0
KurodKe95,1939,1,HNK,,74,262,30,57,11,0,1,32,13,,38,18,,2,4,2
KusunYa95,1939,1,KYO,,31,44,7,9,2,1,0,11,1,,13,13,,0,0,0
MakiTs95,1939,1,NAG,,7,7,0,1,0,0,0,1,0,,0,0,,0,1,0
MasuKa95,1939,1,NAG,,90,319,46,81,6,2,1,25,12,,70,24,,1,1,0
MatsuKe95,1939,1,OSA,,93,357,63,102,15,8,1,41,23,,63,26,,1,1,2
MatsuKi96,1939,1,OSA,,32,66,8,15,1,1,0,3,2,,8,9,,0,0,0
MatsuKo97,1939,1,LIO,,61,129,17,17,2,0,0,5,2,,21,27,,0,3,0
MatsuKo99,1939,1,NAG,,38,66,1,7,2,0,0,1,0,,3,29,,0,2,0
MatsuMi99,1939,1,NGK,,19,50,0,8,0,0,0,4,0,,8,5,,0,0,0
MinagSa95,1939,1,OSA,,88,267,40,61,6,1,0,20,10,,42,40,,1,13,1
MisonTa95,1939,1,OSA,,41,118,12,26,0,1,0,13,4,,15,11,,0,0,2
MiuraTo95,1939,1,NAG,,83,279,16,52,5,4,1,23,20,,38,35,,0,3,1
MiwaHa95,1939,1,OSA,,12,14,0,0,0,0,0,2,0,,1,3,,0,1,0
