playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
gehrich01,1936,BBWAA,226,170,0,N,Player,19,0
hartnga01,1936,BBWAA,226,170,0,N,Player,20,0
sullibi03,1936,BBWAA,226,170,0,N,Player,16,0
lajoina01,1937,BBWAA,201,151,168,Y,Player,22,0
speaktr01,1937,BBWAA,201,151,165,Y,Player,22,1
youngcy01,1937,BBWAA,201,151,153,Y,Player,23,23
alexape01,1937,BBWAA,201,151,125,N,Player,21,21
collied01,1937,BBWAA,201,151,115,N,Player,25,0
keelewi01,1937,BBWAA,201,151,115,N,Player,20,0
sislege01,1937,BBWAA,201,151,106,N,Player,16,7
delahed01,1937,BBWAA,201,151,70,N,Player,16,0
wadderu01,1937,BBWAA,201,151,67,N,Player,14,14
colliji01,1937,BBWAA,201,151,66,N,Player,16,0
walshed01,1937,BBWAA,201,151,56,N,Player,14,14
hornsro01,1937,BBWAA,201,151,53,N,Player,24,0
chancfr01,1937,BBWAA,201,151,49,N,Player,17,0
eversjo01,1937,BBWAA,201,151,44,N,Player,19,0
bresnro01,1937,BBWAA,201,151,43,N,Player,18,3
brownmo01,1937,BBWAA,201,151,31,N,Player,15,15
maranra01,1937,BBWAA,201,151,25,N,Player,23,0
schalra01,1937,BBWAA,201,151,24,N,Player,18,0
planked01,1937,BBWAA,201,151,23,N,Player,17,17
clarkfr01,1937,BBWAA,201,151,22,N,Player,21,0
klingjo01,1937,BBWAA,201,151,20,N,Player,14,0
chaseha01,1937,BBWAA,201,151,18,N,Player,17,1
bendech01,1937,BBWAA,201,151,17,N,Player,16,16
crigelo01,1937,BBWAA,201,151,16,N,Player,16,0
youngro01,1937,BBWAA,201,151,16,N,Player,10,0
pennohe01,1937,BBWAA,201,151,15,N,Player,23,23
tinkejo01,1937,BBWAA,201,151,15,N,Player,15,0
bakerfr01,1937,BBWAA,201,151,13,N,Player,13,0
marquru01,1937,BBWAA,201,151,13,N,Player,19,19
woodjo02,1937,BBWAA,201,151,13,N,Player,14,11
mcginjo01,1937,BBWAA,201,151,12,N,Player,11,11
jossad01,1937,BBWAA,201,151,11,N,Player,9,9
ruckena01,1937,BBWAA,201,151,11,N,Player,10,10
heilmha01,1937,BBWAA,201,151,10,N,Player,17,0
roushed01,1937,BBWAA,201,151,10,N,Player,19,0
vanceda01,1937,BBWAA,201,151,10,N,Player,18,18
adamsba01,1937,BBWAA,201,151,8,N,Player,19,19
duffyhu01,1937,BBWAA,201,151,7,N,Player,17,0
archeji01,1937,BBWAA,201,151,6,N,Player,14,0
careyma01,1937,BBWAA,201,151,6,N,Player,21,0
donlimi01,1937,BBWAA,201,151,6,N,Player,14,2
hoopeha01,1937,BBWAA,201,151,6,N,Player,17,1
bradlbi01,1937,BBWAA,201,151,5,N,Player,14,1
carribi02,1937,BBWAA,201,151,5,N,Player,10,0
crawfsa01,1937,BBWAA,201,151,5,N,Player,19,0
huggimi01,1937,BBWAA,201,151,5,N,Manager,13,0
mcgrajo01,1937,BBWAA,201,151,5,N,Manager,17,0
robinwi01,1937,BBWAA,201,151,5,N,Manager,18,0
tennefr02,1937,BBWAA,201,151,5,N,Player,17,1
wheatza01,1937,BBWAA,201,151,5,N,Player,19,0
combsea01,1937,BBWAA,201,151,4,N,Player,12,0
griffcl01,1937,BBWAA,201,151,4,N,Pioneer/Executive,22,21
jennihu01,1937,BBWAA,201,151,4,N,Player,20,0
altroni01,1937,BBWAA,201,151,3,N,Player,21,18
bancrda01,1937,BBWAA,201,151,3,N,Player,17,0
burnsge01,1937,BBWAA,201,151,3,N,Player,15,0
donovbi01,1937,BBWAA,201,151,3,N,Player,18,18
faberre01,1937,BBWAA,201,151,3,N,Player,20,20
lewisdu01,1937,BBWAA,201,151,3,N,Player,11,1
nehfar01,1937,BBWAA,201,151,3,N,Player,18,18
peckiro01,1937,BBWAA,201,151,3,N,Player,18,0
bergema01,1937,BBWAA,201,151,2,N,Player,4,0
bodiepi01,1937,BBWAA,201,151,2,N,Player,9,0
coombja01,1937,BBWAA,201,151,2,N,Player,14,14
cravaga01,1937,BBWAA,201,151,2,N,Player,12,0
daubeja01,1937,BBWAA,201,151,2,N,Player,15,0
doylela01,1937,BBWAA,201,151,2,N,Player,15,0
fletcar01,1937,BBWAA,201,151,2,N,Player,14,0
gowdyha01,1937,BBWAA,201,151,2,N,Player,19,0
loberha01,1937,BBWAA,201,151,2,N,Player,14,0
mageesh01,1937,BBWAA,201,151,2,N,Player,17,0
schreos01,1937,BBWAA,201,151,2,N,Player,15,0
scottev01,1937,BBWAA,201,151,2,N,Player,15,0
breitte01,1937,BBWAA,201,151,1,N,Player,11,11
burkeje01,1937,BBWAA,201,151,1,N,Player,16,3
bushdo01,1937,BBWAA,201,151,1,N,Player,17,0
chesbja01,1937,BBWAA,201,151,1,N,Player,12,12
cissebi01,1937,BBWAA,201,151,1,N,Player,10,0
collish01,1937,BBWAA,201,151,1,N,Player,16,0
dooinre01,1937,BBWAA,201,151,1,N,Player,16,0
duganjo01,1937,BBWAA,201,151,1,N,Player,15,0
elberki01,1937,BBWAA,201,151,1,N,Player,15,0
falkecy01,1937,BBWAA,201,151,1,N,Player,14,14
gleaski01,1937,BBWAA,201,151,1,N,Player,23,9
grimebu01,1937,BBWAA,201,151,1,N,Player,23,23
grohhe01,1937,BBWAA,201,151,1,N,Player,17,0
hinchbi01,1937,BBWAA,201,151,1,N,Player,10,0
judgejo01,1937,BBWAA,201,151,1,N,Player,21,0
kerrdi01,1937,BBWAA,201,151,1,N,Player,4,4
leachto01,1937,BBWAA,201,151,1,N,Player,20,0
leevesa01,1937,BBWAA,201,151,1,N,Player,13,13
longhe01,1937,BBWAA,201,151,1,N,Player,17,0
luquedo01,1937,BBWAA,201,151,1,N,Player,20,20
mcinnst01,1937,BBWAA,201,151,1,N,Player,19,0
mcleala01,1937,BBWAA,201,151,1,N,Player,14,0
meusebo01,1937,BBWAA,201,151,1,N,Player,11,0
milleha01,1937,BBWAA,201,151,1,N,Player,6,0
moranpa01,1937,BBWAA,201,151,1,N,Player,14,0
murphda02,1937,BBWAA,201,151,1,N,Player,16,0
murrare01,1937,BBWAA,201,151,1,N,Player,12,0
paskedo01,1937,BBWAA,201,151,1,N,Player,15,0
raymobu01,1937,BBWAA,201,151,1,N,Player,6,6
rixeyep01,1937,BBWAA,201,151,1,N,Player,21,21
rudoldi01,1937,BBWAA,201,151,1,N,Player,13,13
rusieam01,1937,BBWAA,201,151,1,N,Player,10,10
schulfr01,1937,BBWAA,201,151,1,N,Player,17,0
seweljo01,1937,BBWAA,201,151,1,N,Player,14,0
steinha01,1937,BBWAA,201,151,1,N,Player,14,0
streega01,1937,BBWAA,201,151,1,N,Player,10,0
sullibi03,1937,BBWAA,201,151,1,N,Player,16,0
veachbo01,1937,BBWAA,201,151,1,N,Player,16,1
wallabo01,1937,BBWAA,201,151,1,N,Player,25,4
wilsoha01,1937,BBWAA,201,151,1,N,Player,13,0
bulkemo99,1937,Centennial,,,,Y,Pioneer/Executive,0,0
johnsba99,1937,Centennial,,,,Y,Pioneer/Executive,0,0
