AndoHa95,1961,1,HNK,AL,7,10,29,13,3,1,0,344,126,60,10,47,37,0,4.71,0,1,4,0,508,0,68,0
AndoIs95,1964,1,HIR,NL,0,0,2,0,0,0,0,12,3,1,0,1,0,0,2.25,0,0,0,0,15,0,1,0
AndoMo95,1962,1,TOE,AL,3,7,19,7,2,2,0,189,57,33,15,15,33,0,4.71,0,0,1,0,256,0,34,0
AndoTo95,1964,1,NIS,AL,0,0,2,0,0,0,0,6,2,1,1,1,1,0,4.5,0,0,1,0,10,0,1,0
AndoYu96,2003,1,HAN,NL,2,3,8,6,0,0,0,99,30,16,4,14,17,0.25,4.36,2,1,1,0,141,0,17,0
AniyaSo95,1975,1,HAN,NL,0,0,1,0,0,0,0,3,4,4,2,1,2,0,36,0,0,0,0,8,0,4,0
AoiKa95,1990,1,FDH,AL,0,0,1,0,0,0,0,3,2,1,1,0,1,0,9,0,0,0,0,5,0,1,0
AokiHa95,2000,1,SEI,AL,0,0,4,0,0,0,0,12,15,11,2,4,2,0.556,24.75,0,0,1,0,32,1,11,0
AokiHi95,1985,1,TAI,NL,0,0,1,0,0,0,0,6,6,6,1,0,2,0,27,0,0,0,0,12,0,6,0
AokiHi96,1961,1,YOM,NL,6,2,23,7,1,0,0,194,62,27,4,19,33,0,3.76,0,0,4,0,277,0,32,0
AokiSh95,1939,1,OSA,0,1,0,3,0,0,0,0,15,6,2,0,6,5,0,3.6,0,0,0,0,26,0,2,0
AokiTa80,2008,1,HIR,NL,5,11,29,24,0,0,0,385,144,68,21,28,89,0.285,4.77,5,2,3,1,549,0,70,0
AokiTa95,1955,1,YOM,NL,0,0,1,0,0,0,0,12,6,3,1,2,3,0,6.75,0,0,0,0,21,0,3,0
AoshiKe95,1936,2,KYO,0,0,2,2,0,0,0,0,11,8,3,1,1,2,0,7.36,0,0,0,0,19,0,4,0
AoyamHi95,1957,1,UNI,AL,0,0,3,0,0,0,0,6,2,1,0,1,1,0,4.5,0,0,0,0,9,0,1,0
AoyamHi97,1984,1,CHU,NL,0,0,10,0,0,0,1,25,20,11,5,2,5,0,11.88,0,1,1,0,48,0,11,0
AoyamKo80,2008,1,RAK,AL,1,3,42,2,0,0,0,197,90,43,6,18,46,0.326,5.89,1,6,3,0,305,11,48,0
AquinLu95,1996,1,KIN,AL,11,9,25,23,2,1,0,468,158,70,22,55,58,0.272,4.04,1,3,4,0,658,0,75,0
AraiJo95,1958,1,MAI,AL,0,0,1,0,0,0,0,6,2,3,1,2,0,0,13.5,0,0,0,0,9,0,3,0
AraiKa95,1981,1,TAI,NL,1,2,14,3,1,0,0,108,47,20,8,10,18,0,5,0,1,1,0,159,0,23,0
AraiTa97,1958,1,KIN,AL,0,0,13,0,0,0,0,78,27,11,4,4,14,0,3.81,0,0,1,0,110,0,15,0
AraiYo95,1973,1,HNK,AL,0,0,2,0,0,0,0,4,4,3,0,0,0,0,20.25,0,0,0,0,9,0,3,0
ArakaIw95,1963,1,KOK,NL,0,0,1,0,0,0,0,3,0,1,0,1,0,0,9,0,0,1,0,5,0,1,0
ArakaNa95,2006,1,FSH,AL,10,6,22,18,3,2,0,410,146,70,13,54,130,0.279,4.61,1,7,9,1,600,0,73,0
ArakiDa95,1992,1,YAK,NL,0,2,5,4,0,0,0,38,15,11,5,4,6,0.326,7.82,0,0,0,0,54,0,11,0
ArakiKe95,1949,1,TKY,0,0,0,7,0,0,0,0,69,24,13,3,11,4,0,5.09,0,0,0,0,102,0,13,0
ArakiMa96,1939,1,HNK,0,9,2,17,6,9,3,0,344,88,22,2,33,36,0.21,1.73,0,1,1,0,461,2,29,0
