adamsbo01,1925,1,BOS,AL,0,0,2,0,0,0,0,17,10,5,1,3,1,0.41,7.94,0,0,0,0,28,2,5,0,0,0
adamsbo02,1931,1,PHI,NL,0,0,4,0,0,0,0,18,7,1,0,2,2,0.31,1.5,0,0,0,0,25,3,1,0,0,0
adamsda01,1914,1,KCF,FL,0,2,11,2,0,0,0,105,41,18,2,13,16,9.99,4.63,0,3,1,0,0,8,20,0,0,0
adamsjo01,1902,1,SLN,NL,0,0,1,0,0,0,0,12,9,4,0,2,0,0.44,9.0,0,0,1,0,0,1,6,0,0,0
adamsjo02,1996,1,FLO,NL,0,3,5,5,0,0,0,69,25,21,5,11,14,0.284,8.22,0,0,3,0,104,0,21,1,1,2
adamska01,1914,1,CIN,NL,1,9,26,12,3,0,0,321,105,56,5,43,57,0.26,4.71,0,4,2,0,462,10,62,0,0,0
adamsmi01,1967,1,BAL,AL,0,1,6,0,0,0,0,24,10,4,0,6,2,0.35,4.5,2,1,0,0,38,1,4,0,0,0
adamsmi03,2004,1,MIL,NL,2,1,22,0,0,0,0,56,16,6,1,8,21,0.232,2.89,1,0,0,0,79,0,8,2,0,2
adamsre01,1946,1,CHN,NL,0,1,8,0,0,0,0,36,18,11,1,7,8,0.35,8.25,0,0,0,0,59,4,12,0,0,0
adamsri01,1905,1,WS1,AL,2,5,11,6,3,1,0,188,63,25,1,24,25,0.26,3.59,0,0,8,0,0,5,30,0,0,0
adamste01,1995,1,CHN,NL,0,2,16,0,0,0,0,40,25,19,3,10,4,0.403,12.83,2,0,4,0,77,5,19,1,0,2
adamswi01,1912,1,SLA,AL,0,0,1,0,0,0,0,14,7,2,1,2,0,0.38,3.86,0,0,1,0,21,1,2,0,0,0
adamswi02,1996,1,OAK,AL,3,5,13,12,0,0,0,175,73,53,9,32,37,0.307,8.18,2,2,4,0,282,0,53,3,5,2
adcocna01,2011,1,KCA,AL,1,2,13,0,0,0,0,54,15,12,3,12,13,0.221,6.0,0,1,1,0,83,4,12,1,1,0
adenhni01,2008,1,LAA,AL,0,0,1,1,0,0,0,18,7,0,0,3,5,0.292,0.0,0,1,0,0,27,0,0,0,0,1
adkinde01,1942,1,WS1,AL,2,4,30,5,1,0,0,247,98,52,10,39,43,0.29,5.68,0,3,0,0,377,14,58,0,0,0
adkindo01,1902,1,BOS,AL,0,0,2,1,0,0,1,21,10,6,0,5,0,0.33,7.71,0,0,1,0,37,1,8,0,0,0
adkingr01,1928,1,CHA,AL,2,11,31,15,5,0,0,415,168,82,12,67,24,0.3,5.33,0,3,1,0,640,12,98,0,0,0
adkinjo01,2003,1,CHA,AL,1,0,4,0,0,0,0,11,4,1,1,3,3,0.333,2.45,1,0,0,0,15,0,1,0,0,1
adkinst01,1990,1,NYA,AL,1,2,5,5,0,0,0,72,19,17,4,29,14,0.226,6.38,0,2,0,0,115,0,18,1,1,3
adlemti01,2016,1,CIN,NL,5,11,30,20,0,0,0,367,124,75,29,51,108,0.264,5.52,1,1,6,1,531,4,79,1,4,8
affelje01,2002,1,KCA,AL,2,2,52,0,0,0,0,106,43,23,6,14,21,0.293,5.86,2,1,2,0,163,7,24,0,0,4
agostju01,1981,1,CHA,AL,0,0,6,0,0,0,0,18,8,4,1,0,3,0.308,6.0,0,0,0,1,26,3,4,0,0,0
aguilri01,1985,1,NYN,NL,1,2,54,0,0,0,29,143,47,26,11,18,38,0.251,4.91,2,1,4,0,210,44,28,1,0,3
aguirha01,1955,1,CLE,AL,3,0,17,0,0,0,1,42,13,7,3,9,11,0.25,4.5,1,0,1,0,64,3,10,2,0,0
ahearpa01,1995,1,DET,AL,0,2,4,3,0,0,0,30,20,13,2,5,4,0.4,11.7,1,1,0,0,55,0,13,0,0,0
ainsmed01,1913,1,WS1,AL,0,0,1,0,0,0,0,1,2,2,0,0,0,0.66,54.0,0,0,0,0,3,0,2,0,0,0
ainswku01,2001,1,SFN,NL,0,1,7,7,0,0,0,92,39,33,6,20,20,0.32,9.68,0,4,5,0,151,0,34,2,2,4
aitchra01,1911,1,BRO,NL,0,4,7,5,2,0,0,98,36,18,3,6,14,0.26,4.96,0,0,2,0,147,2,25,0,0,0
akerfda01,1986,1,OAK,AL,2,1,30,0,0,0,0,149,49,29,5,27,31,0.257,5.26,4,4,3,0,229,11,30,6,2,1
akerja01,1964,1,KC1,AL,2,1,24,0,0,0,2,124,33,16,4,14,18,0.213,3.48,1,1,2,0,173,16,18,1,1,4
akersje01,1912,1,WS1,AL,1,1,5,1,0,0,0,61,24,11,1,15,11,0.3,4.87,0,0,2,0,97,3,17,0,0,0
albagi01,1988,1,SLN,NL,0,0,3,0,0,0,0,10,1,1,0,2,3,0.091,2.7,0,0,0,0,14,1,2,0,1,0
albaljo01,2007,1,WAS,NL,0,0,3,0,0,0,0,9,5,3,1,0,2,0.385,9.0,0,0,1,1,15,0,3,0,1,0
albanjo01,1958,1,WS1,AL,0,0,6,0,0,0,0,18,8,3,1,2,3,0.34,4.5,0,0,0,0,27,6,3,0,0,0
alberan01,2013,1,MIN,AL,5,1,9,6,0,0,1,123,43,16,6,10,37,0.262,3.51,0,1,2,0,178,2,22,0,1,3
albercy01,1910,1,SLN,NL,1,2,4,3,2,0,0,83,35,19,1,20,10,0.33,6.18,0,1,0,0,126,1,21,0,0,0
alberjo01,1995,1,TEX,AL,0,3,10,4,0,0,0,85,37,25,4,17,11,0.303,7.94,1,3,1,0,143,2,33,2,1,2
alberma01,2006,1,HOU,NL,7,2,63,0,0,0,2,183,35,11,6,17,63,0.166,1.62,0,0,4,0,233,23,12,0,1,6
albosed01,1941,1,BRO,NL,0,6,17,6,0,0,0,119,41,27,3,35,19,0.26,6.13,0,1,1,0,195,3,34,0,0,0
albreed01,1949,1,SLA,AL,0,1,2,1,0,0,0,20,6,4,0,7,1,0.25,5.4,0,0,0,0,32,1,7,0,0,0
albural01,2011,1,DET,AL,0,1,10,0,0,0,0,24,3,1,0,2,5,0.111,1.13,0,0,0,0,29,2,1,0,0,0
alburvi01,1973,1,MIN,AL,3,1,23,0,0,0,0,151,51,20,0,24,23,0.27,3.58,3,4,2,0,221,11,22,2,5,2
alcalsa01,1976,1,CIN,NL,2,6,31,10,0,0,2,305,104,53,12,47,64,0.263,4.69,5,4,2,2,447,6,55,1,1,7
alcanra01,2016,1,OAK,AL,1,2,8,4,0,0,0,72,22,19,5,12,12,0.239,7.13,1,0,3,1,108,2,21,0,1,2
alcansa01,2017,1,SLN,NL,0,0,8,0,0,0,0,25,9,4,2,6,10,0.273,4.32,0,0,0,0,39,3,6,0,0,2
alcanvi01,2017,1,DET,AL,0,0,6,0,0,0,0,22,12,7,1,4,5,0.375,8.59,0,1,2,0,39,2,7,0,1,1
alderda01,1943,1,CHN,NL,0,0,12,1,0,0,0,65,31,16,2,9,7,0.34,6.65,0,0,0,0,105,7,18,0,0,0
aldremi01,1996,2,NYA,AL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.333,0.0,0,0,0,0,4,1,0,0,1,0
