,Year,Stint,TeamID,LgId,W,L,G,GS,CG,SHO,SV,IPO,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BF,GF,R
OshidRe95,1963,1,MAI,AL,0,0,4,0,0,0,,14,5,1,0,1,2,,1.93,,0,0,0,20,,1
OtaKo95,1963,1,HAN,NL,2,1,31,0,0,0,,112,44,14,5,10,11,,3.38,,0,0,0,155,,18
OtsuMa95,1963,1,KIN,AL,1,0,9,0,0,0,,37,22,15,3,6,5,,10.95,,0,0,0,62,,17
OzakiYu95,1963,1,TOE,AL,7,5,17,11,4,3,,279,83,30,13,29,60,,2.9,,0,1,1,380,,34
palmqed01,1963,1,MAI,AL,0,1,9,0,0,0,,52,16,6,2,5,9,,3.12,,0,1,0,70,,7
RickFr95,1963,1,HNK,AL,0,0,7,0,0,0,,28,10,4,1,8,6,,3.86,,0,0,0,44,,5
RyuKe95,1963,1,HIR,NL,9,16,61,21,2,0,,572,193,96,24,54,65,,4.53,,1,0,0,806,,106
SagaKe95,1963,1,TOE,AL,6,6,22,11,2,1,,278,74,23,12,18,45,,2.23,,1,1,0,355,,26
SakaiKa95,1963,1,MAI,AL,14,19,58,30,6,2,,755,200,73,23,65,183,,2.61,,5,16,0,1024,,92
SasakKa95,1963,1,HIR,NL,0,1,26,0,0,0,,126,46,22,5,18,23,,4.71,,0,0,2,184,,26
SasakKo95,1963,1,KIN,AL,4,5,41,12,1,0,,349,105,40,18,29,81,,3.09,,0,7,0,482,,46
SasakYo95,1963,1,TAI,NL,2,6,26,8,1,0,,226,80,31,8,25,20,,3.7,,2,3,0,322,,37
SasakYu95,1963,1,HNK,AL,3,3,48,13,1,0,,385,102,46,11,43,64,,3.23,,0,6,0,515,,49
SatoKi96,1963,1,HNK,AL,0,0,9,0,0,0,,52,11,3,1,2,12,,1.56,,0,0,0,67,,3
ShibaAk95,1963,1,TOE,AL,0,0,4,0,0,0,,34,8,2,1,3,4,,1.59,,0,0,0,43,,2
ShibuSe95,1963,1,KOK,NL,14,17,57,31,7,3,,767,217,89,19,137,185,,3.13,,3,11,0,1089,,98
ShimaGe95,1963,1,TAI,NL,4,10,39,16,3,1,,423,146,68,18,62,84,,4.34,,1,5,0,616,,80
ShimaIs95,1963,1,KOK,NL,0,0,1,0,0,0,,11,5,2,1,2,2,,4.91,,0,0,0,17,,2
ShimoMi95,1963,1,NIS,AL,0,0,1,0,0,0,,7,3,1,0,1,1,,3.86,,0,0,0,12,,1
ShinoSo95,1963,1,TAI,NL,0,2,27,0,0,0,,146,59,21,3,14,26,,3.88,,2,0,0,211,,26
stankjo01,1963,1,NAN,AL,14,7,34,23,7,4,,559,154,53,13,60,89,,2.56,,4,7,0,756,,63
SugawNo95,1963,1,MAI,AL,0,0,3,0,0,0,,27,6,3,2,4,8,,3,,0,0,0,35,,3
SugimIs95,1963,1,NIS,AL,0,2,10,0,0,0,,60,17,7,1,7,12,,3.15,,0,0,0,82,,7
SugiuTa95,1963,1,NAN,AL,14,16,51,31,9,1,,758,217,74,30,46,156,,2.64,,1,1,0,990,,86
SuzukKi95,1963,1,KOK,NL,3,9,48,0,0,0,,323,87,53,12,45,59,,4.43,,1,4,0,447,,60
SuzukTa91,1963,1,TAI,NL,8,17,59,5,0,0,,640,203,80,12,80,116,,3.38,,2,8,0,901,,94
TadokZe95,1963,1,KOK,NL,3,2,35,0,0,0,,216,62,28,12,22,29,,3.5,,0,1,0,282,,29
TakahAk98,1963,1,YOM,NL,14,13,42,24,12,3,,626,186,65,11,31,82,,2.8,,2,4,1,826,,71
TakahEi95,1963,1,NAN,AL,11,6,43,18,5,0,,485,143,57,11,47,84,,3.17,,2,5,0,663,,65
TanabOs95,1963,1,KIN,AL,0,0,5,0,0,0,,18,6,2,0,2,4,,3,,0,0,0,27,,4
TanakKi95,1963,1,NIS,AL,0,0,3,0,0,0,,15,9,6,1,1,0,,10.8,,0,1,0,24,,6
TanakMi97,1963,1,TOE,AL,0,0,5,0,0,0,,20,7,3,2,8,6,,4.05,,0,1,0,37,,8
TanakTs95,1963,1,NIS,AL,17,8,51,26,6,4,,649,177,64,16,55,133,,2.66,,3,0,1,860,,74
TatsuHa95,1963,1,KOK,NL,0,0,6,0,0,0,,32,8,3,1,6,2,,2.53,,0,0,0,44,,3
TokuhTo95,1963,1,KIN,AL,20,15,66,31,10,4,,810,223,88,33,51,150,,2.93,,2,2,1,1071,,100
TominKa95,1963,1,TOE,AL,1,3,18,0,0,0,,134,54,25,4,14,23,,5.04,,0,2,0,199,,33
TomisGo95,1963,1,NAN,AL,0,0,32,0,0,0,,66,25,10,3,9,14,,4.09,,0,0,0,96,,12
TsuboTa95,1963,1,HIR,NL,0,0,2,0,0,0,,5,6,3,1,3,0,,16.2,,0,0,0,14,,7
TsujiKi95,1963,1,MAI,AL,0,0,2,0,0,0,,10,5,2,0,2,2,,5.4,,0,0,0,17,,2
TsumaYo95,1963,1,MAI,AL,2,3,27,0,0,0,,192,61,16,5,10,25,,2.25,,0,1,0,264,,21
UkariMi95,1963,1,HIR,NL,6,5,37,11,3,0,,329,107,43,7,35,39,,3.53,,0,1,0,464,,49
WakoTa95,1963,1,NIS,AL,12,12,51,24,5,2,,608,155,52,13,86,133,,2.31,,6,9,1,841,,69
WakoTe95,1963,1,TAI,NL,0,0,1,0,0,0,,3,0,0,0,0,0,,0,,0,0,0,3,,0
WakoTo95,1963,1,MAI,AL,3,7,18,8,2,0,,205,62,35,9,21,45,,4.61,,0,2,0,289,,39
WatanMa99,1963,1,TAI,NL,0,0,4,0,0,0,,13,7,5,2,4,0,0.389,10.38,0,0,0,0,22,2,5
WatanSh97,1963,1,HAN,NL,6,6,38,9,1,0,,290,105,42,7,26,23,,3.91,,1,2,0,405,,46
YagiTa95,1963,1,HIR,NL,0,1,12,0,0,0,,74,24,18,3,16,8,,6.57,,0,0,0,109,,18
YamamHy95,1963,1,HIR,NL,0,0,1,0,0,0,,6,3,1,1,2,1,,4.5,,0,0,0,9,,1
YamamSh95,1963,1,KIN,AL,9,17,57,25,3,0,,638,198,86,29,85,168,,3.64,,4,9,0,911,,104
YamamYa95,1963,1,HAN,NL,0,0,1,0,0,0,,6,0,1,0,2,1,,4.5,,0,0,0,8,,1
YamamYo95,1963,1,TOE,AL,0,3,23,0,0,0,,99,38,19,6,12,15,,5.18,,0,2,0,149,,20
YamanTa95,1963,1,CHU,NL,15,6,45,23,7,3,,592,164,62,17,44,88,,2.83,,2,2,0,782,,67
YamaoTa95,1963,1,HAN,NL,0,1,5,0,0,0,,30,14,7,2,3,3,,6.3,,2,1,0,49,,9
YodaYo95,1963,1,NIS,AL,0,5,19,0,0,0,,174,54,23,7,19,34,,3.57,,1,3,1,244,,25
YonedTe95,1963,1,HNK,AL,14,23,53,32,8,1,,787,259,117,27,91,177,,4.01,,0,5,0,1107,,135
YoshiKa95,1963,1,KIN,AL,0,0,1,0,0,0,,9,1,0,0,1,0,,0,,0,0,0,10,,0
YoshiSa95,1963,1,TOE,AL,1,1,12,3,1,1,,101,33,7,0,11,22,,1.87,,0,1,0,141,,9
AbeKa95,1964,1,NIS,AL,11,5,49,20,5,3,,531,152,54,9,56,55,,2.75,,0,9,0,728,,63
AdachMi95,1964,1,HNK,AL,13,15,46,29,8,4,,708,200,73,26,37,125,,2.78,,0,5,0,927,,82
AkimoYu95,1964,1,HNK,AL,0,0,1,0,0,0,,6,5,4,0,0,1,,18,,0,0,0,11,,4
AkiyaNo95,1964,1,TAI,NL,21,10,63,23,8,2,,779,214,79,20,68,126,,2.74,,1,9,0,1053,,96
AndoHa95,1964,1,HNK,AL,4,3,31,12,3,0,,329,101,43,5,33,42,,3.53,,0,3,0,453,,50
AndoIs95,1964,1,HIR,NL,0,0,2,0,0,0,,12,3,1,0,1,0,,2.25,,0,0,0,15,,1
AndoTo95,1964,1,NIS,AL,1,8,39,0,0,0,,273,91,40,17,30,36,,3.96,,2,3,1,386,,46
AniyaSo95,1964,1,HIR,NL,3,8,38,7,1,0,,277,86,36,10,31,74,,3.51,,1,5,0,390,,38
ArakaIw95,1964,1,KOK,NL,0,0,3,0,0,0,,12,4,3,1,1,1,,6.75,,0,0,0,17,,3
BacquGe95,1964,1,HAN,NL,29,9,46,38,24,4,,1060,280,74,11,94,200,,1.88,,9,6,0,1391,7,85
BandoEi95,1964,1,CHU,NL,6,7,53,9,2,0,,421,144,48,13,44,73,,3.08,,3,3,0,600,,60
BandoSa95,1964,1,KIN,AL,1,2,34,0,0,0,,208,78,37,7,17,23,,4.8,,0,1,0,292,,40
burnspe01,1964,1,HAN,NL,5,8,29,19,4,1,,354,92,44,12,41,47,,3.36,,2,2,0,478,,46
ChihaYo95,1964,1,CHU,NL,0,2,9,2,0,0,,61,22,14,2,13,8,,6.2,,1,1,0,92,,15
DesaDi95,1964,1,KIN,AL,0,0,2,0,0,0,,9,4,3,0,2,1,,9,,0,1,0,15,,3
DobasMa95,1964,1,TOE,AL,20,15,48,33,12,3,,811,250,99,20,46,132,,3.3,,1,8,1,1102,,113
FujitMo95,1964,1,YOM,NL,8,11,41,15,3,2,,526,149,53,15,61,86,,2.72,,6,3,0,710,,64
FukuhMa95,1964,1,KIN,AL,0,0,14,0,0,0,,69,31,14,4,9,11,,5.48,,0,1,0,111,,19
FurusKe95,1964,1,HAN,NL,0,0,8,1,0,0,,51,7,1,0,4,9,,0.53,,1,1,0,59,,1
GodaEi95,1964,1,NAN,AL,2,3,25,0,0,0,,148,48,11,2,6,25,,2.01,,0,0,0,199,,21
GondoHi95,1964,1,CHU,NL,6,11,26,16,3,0,,316,105,49,12,45,47,,4.19,,4,3,0,458,,53
GondoMa95,1964,1,TOE,AL,1,1,25,3,1,1,,131,35,11,1,17,36,,2.27,,1,3,0,184,,16
HanzaSh95,1964,1,KOK,NL,8,10,34,18,7,2,,491,142,56,12,73,110,,3.08,,2,1,0,684,,65
HaradYo95,1964,1,HIR,NL,0,0,2,0,0,0,,6,1,0,0,0,0,,0,,0,0,0,7,,0
HasatIs95,1964,1,HIR,NL,0,0,2,0,0,0,,9,4,2,1,2,3,,6,,0,0,0,14,,3
HashiFu95,1964,1,TOE,AL,0,1,10,0,0,0,,14,11,5,0,0,3,,9.64,,0,0,0,24,,7
HataTa95,1964,1,NIS,AL,3,2,15,6,1,0,,154,62,28,7,26,20,,4.91,,1,0,0,234,,31
HayamJi95,1964,1,TAI,NL,0,0,1,0,0,0,,4,1,1,1,0,0,,6.75,,0,0,0,5,,1
HayasTo95,1964,1,NAN,AL,3,5,49,6,2,1,,273,72,29,4,30,89,,2.87,,0,4,0,366,,29
HiranKa95,1964,1,TAI,NL,0,0,2,0,0,0,,8,8,5,1,4,0,,16.88,,0,0,0,18,,5
HirayYo95,1964,1,TAI,NL,0,0,3,0,0,0,,7,4,4,0,1,0,,15.43,,0,0,0,14,,6
HirosMa95,1964,1,HIR,NL,2,4,33,5,0,0,,205,68,28,7,19,28,,3.69,,0,1,0,282,,29
HonmaMa95,1964,1,HAN,NL,1,3,29,8,2,1,,254,65,24,7,19,38,,2.55,,0,0,0,327,,27
HorimRi95,1964,1,TOK,AL,1,9,20,1,0,0,,210,77,39,12,22,36,,5.01,,0,0,0,298,,41
IkedaHi95,1964,1,HIR,NL,15,12,36,30,11,2,,663,184,76,27,45,89,,3.1,,0,1,0,863,,78
InagaMa97,1964,1,TAI,NL,21,13,55,40,14,5,,908,261,98,28,112,162,,2.91,,4,7,0,1248,,107
InaoKa95,1964,1,NIS,AL,0,2,6,0,0,0,,34,18,13,2,9,2,,10.32,,0,0,0,59,,13
InoueKa95,1964,1,KIN,AL,0,0,5,0,0,0,,12,5,1,1,1,2,,2.25,,0,2,0,20,,3
InoueYo98,1964,1,NIS,AL,17,11,60,29,8,3,,743,234,89,17,74,106,,3.23,,4,7,0,1031,,102
IshidIt95,1964,1,NIS,AL,0,0,2,0,0,0,,12,6,4,0,6,3,,9,,1,0,0,22,,4
IshidSh95,1964,1,KOK,NL,0,0,4,0,0,0,,18,7,2,0,0,1,,3,,0,0,0,24,,2
IshihHi95,1964,1,TOE,AL,0,1,12,0,0,0,,65,26,14,5,4,14,,5.82,,0,0,0,95,,14
IshiiSh95,1964,1,HNK,AL,28,15,62,38,18,3,,975,304,103,21,63,176,,2.85,,1,8,0,1325,,122
IshikMi95,1964,1,HAN,NL,10,3,36,19,7,4,,448,127,48,14,26,81,,2.89,,3,8,0,591,,51
IshikYo96,1964,1,TOE,AL,5,8,42,20,2,1,,494,153,48,10,47,61,,2.62,,1,6,0,676,,61
IshioKo95,1964,1,KOK,NL,2,3,25,5,2,1,,221,59,24,5,27,38,,2.93,,1,1,0,296,,26
ItoYo95,1964,1,YOM,NL,11,12,44,31,9,2,,620,173,79,21,75,130,,3.44,,1,4,2,847,,84
ItoYu80,1964,1,KIN,AL,0,2,37,0,0,0,,241,84,39,13,30,45,,4.37,,0,3,0,343,,41
IwagaKo80,1964,1,KIN,AL,0,0,1,0,0,0,,3,1,1,1,0,1,,9,,0,0,0,4,,1
JonoKa95,1964,1,HIR,NL,0,2,14,3,0,0,,63,21,12,4,15,6,,5.14,,0,1,1,94,,12
JonouKu95,1964,1,YOM,NL,18,16,52,32,17,5,,786,238,65,15,39,119,,2.23,,2,6,0,1040,,79
KadooNo95,1964,1,CHU,NL,3,6,27,10,0,0,,227,85,32,10,10,33,,3.81,,2,0,0,310,,40
KajimTa96,1964,1,HNK,AL,9,13,53,28,6,1,,695,237,86,11,61,142,,3.34,,3,2,0,980,,96
KakimMi95,1964,1,CHU,NL,15,19,50,35,18,4,,833,233,88,24,79,101,,2.85,,0,10,1,1116,,100
KanamHi95,1964,1,HNK,AL,0,0,12,0,0,0,,73,28,9,2,6,14,,3.33,,0,2,1,107,,13
KanedMa96,1964,1,KOK,NL,27,12,44,31,22,4,,930,250,96,36,69,231,,2.79,,3,3,0,1221,12,100
KasazMa95,1964,1,TAI,NL,0,1,4,0,0,0,,23,9,7,2,3,7,,8.22,,0,1,0,35,,7
KatoTa99,1964,1,CHU,NL,2,4,31,10,1,1,,208,73,38,10,18,19,,4.93,,0,3,0,294,,45
KawamYa96,1964,1,CHU,NL,7,10,36,14,5,1,,424,120,60,19,63,74,,3.82,,4,3,1,590,,65
KitagYo95,1964,1,YOM,NL,8,5,38,13,2,1,,391,127,47,15,31,35,,3.25,,0,4,0,528,,52
KondoMi97,1964,1,CHU,NL,1,2,24,4,0,0,,190,60,32,11,20,48,0.294,4.55,,0,1,1,267,,35
KoyamMa95,1964,1,TOK,AL,30,12,53,43,25,3,,1084,300,99,26,87,193,,2.47,,1,6,1,1439,,112
KubotOs95,1964,1,TOE,AL,3,4,24,9,1,0,,248,82,34,6,16,17,,3.7,,2,1,0,342,,38
KuboYu95,1964,1,KIN,AL,10,18,51,26,8,3,,661,249,92,16,49,65,,3.76,,2,6,0,939,,112
KurimMi95,1964,1,TOK,AL,0,0,17,0,0,0,,92,37,14,5,4,13,,4.11,,0,0,0,133,,15
KurodTs95,1964,1,KIN,AL,0,1,15,0,0,0,,97,46,11,2,7,14,,3.06,,1,0,0,149,,16
MaitaTo95,1964,1,NIS,AL,0,1,6,0,0,0,,24,9,3,0,1,4,,3.38,,0,0,0,32,,3
MakiKa95,1964,1,HAN,NL,0,1,13,1,0,0,,61,17,7,2,10,18,,3.1,,0,0,0,90,,8
MakinNo95,1964,1,KIN,AL,8,14,50,17,3,1,,471,173,61,14,48,47,,3.5,,3,3,0,661,,78
MakitMa95,1964,1,CHU,NL,0,1,9,0,0,0,,29,13,9,0,7,4,,8.38,,0,0,0,50,,13
MasudAk96,1964,1,YOM,NL,0,0,4,0,0,0,,27,10,5,1,2,7,,5,,0,0,0,39,,5
MatsuTe95,1964,1,HNK,AL,0,0,3,0,0,0,,26,8,2,0,4,3,,2.08,,0,0,0,38,,4
MihirHa95,1964,1,HNK,AL,3,1,17,0,0,0,,95,27,11,3,15,22,,3.13,,0,1,1,140,,20
MinagMu95,1964,1,NAN,AL,7,5,52,18,2,0,,483,161,52,19,36,73,,2.91,,0,6,0,672,,65
MineKu95,1964,1,TAI,NL,5,2,45,4,0,0,,292,88,38,10,28,45,,3.51,,0,6,0,400,,41
MiuraKi95,1964,1,NAN,AL,6,6,45,16,1,1,,421,145,66,14,52,87,,4.23,,0,4,0,612,,79
MiyatYu95,1964,1,YOM,NL,7,5,35,4,3,1,,290,67,25,4,33,74,,2.33,,1,1,1,379,,26
MiyazSh97,1964,1,TOE,AL,4,6,43,0,0,0,,303,81,32,10,30,51,,2.85,,0,2,0,406,,34
MizutHi97,1964,1,CHU,NL,2,4,27,4,2,1,,252,72,22,6,18,55,,2.36,,0,2,0,339,,31
MorikTa95,1964,1,HIR,NL,3,5,21,12,1,1,,210,58,20,9,24,28,,2.57,,0,2,0,284,,21
MorimSh95,1964,1,HAN,NL,0,0,5,0,0,0,,18,5,5,0,4,3,,7.5,,0,0,0,26,,5
MorinCh95,1964,1,NAN,AL,8,9,51,18,4,1,,506,152,75,21,65,124,,4,,0,4,0,710,,84
MoritYo96,1964,1,KOK,NL,5,14,44,21,1,0,,489,146,54,13,36,45,,2.98,,1,4,0,653,,60
MotegTa95,1964,1,KOK,NL,0,0,8,0,0,0,,36,9,4,1,2,1,,3,,0,0,0,47,,4
MurakHi95,1964,1,HNK,AL,0,0,3,0,0,0,,21,12,4,0,2,4,,5.14,,0,0,0,34,,6
MurakTo95,1964,1,HAN,NL,0,0,2,0,0,0,,3,0,0,0,1,1,,0,,0,1,0,5,,0
MuratGe95,1964,1,KOK,NL,2,7,27,16,2,0,,343,133,46,17,16,22,,3.62,,1,0,0,473,,54
MurayMi95,1964,1,HAN,NL,22,18,46,33,17,5,,765,227,94,27,80,159,,3.32,,2,5,0,1043,,102
NagatYo95,1964,1,TOK,AL,0,0,1,0,0,0,,6,1,0,0,0,1,,0,,0,0,0,7,,0
NagayMa95,1964,1,TOE,AL,0,0,2,0,0,0,,9,4,1,0,4,0,,3,,0,0,1,14,,1
NakaiEt95,1964,1,HAN,NL,1,2,11,5,0,0,,95,36,13,5,8,15,,3.69,,0,0,0,133,,17
NakamMi95,1964,1,YOM,NL,0,0,9,1,0,0,,54,27,11,5,6,4,,5.5,,0,1,0,89,,18
NakanKa95,1964,1,TOK,AL,5,9,32,13,3,1,,344,104,41,9,50,62,,3.22,,1,4,0,488,,51
NakayTo95,1964,1,CHU,NL,7,9,31,15,5,2,,341,106,51,18,42,33,,4.04,,0,3,1,479,,57
NanamYo95,1964,1,YOM,NL,2,1,4,3,1,1,,54,6,4,0,11,7,,2,,0,1,0,70,,4
NiiyaAk95,1964,1,NAN,AL,10,9,50,13,1,1,,387,122,44,10,33,72,,3.07,,2,3,0,530,,51
NishiHi98,1964,1,HIR,NL,0,0,1,0,0,0,,2,3,3,0,0,0,,40.5,,0,0,0,5,,3
NishiKa95,1964,1,HIR,NL,3,4,27,11,2,1,,259,77,32,9,30,50,,3.34,,2,1,0,357,,37
NishiMi97,1964,1,TOK,AL,5,6,42,13,1,0,,371,103,32,16,31,67,,2.33,,3,1,0,491,,37
NishiYo98,1964,1,CHU,NL,1,0,17,2,0,0,,75,22,8,1,13,7,,2.88,,0,0,0,108,,10
NogucKa95,1964,1,CHU,NL,0,0,1,0,0,0,,6,3,1,0,0,0,,4.5,,0,0,0,8,,1
ObaKi95,1964,1,NIS,AL,0,1,4,0,0,0,,9,6,2,0,2,0,,6,,0,0,0,17,,4
ObaSu95,1964,1,HIR,NL,4,6,47,12,2,1,,336,92,33,10,37,61,,2.65,,1,2,0,453,,37
OgataMa95,1964,1,KOK,NL,0,0,22,0,0,0,,102,31,5,1,8,18,,1.32,,0,0,0,135,,10
OgawaKe95,1964,1,CHU,NL,0,1,9,0,0,0,,73,31,12,1,7,7,,4.44,,1,2,1,110,,15
OishiKi95,1964,1,HIR,NL,17,15,51,30,15,3,,785,221,85,25,74,143,,2.92,,0,8,0,1059,,93
OishiYa96,1964,1,HNK,AL,1,0,25,0,0,0,,131,48,22,5,6,18,,4.53,,0,1,0,186,,28
OkumaNo95,1964,1,YOM,NL,2,0,8,3,1,0,,76,26,15,3,11,8,,5.33,,0,0,0,112,,18
OnoSh96,1964,1,TOK,AL,5,9,46,18,5,0,,488,150,67,16,87,119,,3.71,,2,0,0,711,,79
OnozaKi95,1964,1,KIN,AL,0,0,11,0,0,0,,20,8,5,2,3,2,,6.75,,1,1,0,30,,5
OsadaHi95,1964,1,KIN,AL,1,1,38,0,0,0,,165,57,22,6,22,26,,3.6,,0,1,0,238,,27
OsakiTa95,1964,1,TAI,NL,1,1,9,3,0,0,,75,26,10,4,7,11,,3.6,,1,0,0,106,,11
OtaKo95,1964,1,HAN,NL,1,3,29,3,0,0,,136,41,15,5,8,20,,2.98,,0,1,0,183,,18
OzakiYu95,1964,1,TOE,AL,20,18,55,35,11,4,,858,233,81,23,90,197,,2.55,,1,9,0,1167,,93
RyuKe95,1964,1,HIR,NL,8,7,59,7,1,1,,415,145,64,16,47,49,,4.16,,0,6,0,601,,74
RyuTa95,1964,1,TOK,AL,0,0,10,0,0,0,,28,14,8,2,3,5,,7.71,,0,1,0,45,,8
SagaKe95,1964,1,TOE,AL,21,9,55,26,7,5,,676,197,67,20,53,90,,2.68,,3,5,0,905,,82
SakaiKa95,1964,1,TOK,AL,25,17,58,37,13,2,,909,260,84,21,73,183,,2.5,,2,6,1,1210,,103
SakotSh95,1964,1,TOK,AL,0,1,12,0,0,0,,81,16,4,1,7,18,,1.33,,0,0,0,102,,6
SasakKo95,1964,1,KIN,AL,10,17,73,24,4,2,,682,189,79,22,57,161,,3.13,,2,8,0,921,,97
SasakYo95,1964,1,TAI,NL,5,7,39,14,2,1,,371,108,35,10,27,60,,2.55,,1,4,0,490,,44
SatoKi96,1964,1,HNK,AL,0,0,7,0,0,0,,39,11,2,2,3,13,,1.38,,0,1,0,54,,3
SatoSu95,1964,1,KOK,NL,10,13,50,24,7,1,,576,205,89,16,62,76,,4.17,,2,7,0,829,,103
SeiTo95,1964,1,NIS,AL,4,11,35,13,3,1,,358,118,48,14,36,64,,3.62,,1,3,0,505,,60
ShibaAk95,1964,1,TOE,AL,0,0,1,0,0,0,,3,1,0,0,1,1,,0,,0,0,0,5,,0
ShibuSe95,1964,1,KOK,NL,6,13,52,25,4,2,,489,160,91,21,90,115,,5.02,,1,5,1,724,,99
ShimaGe95,1964,1,TAI,NL,1,5,30,4,2,0,,194,61,20,2,18,43,,2.78,,0,2,0,267,,26
ShimoMi95,1964,1,NIS,AL,0,0,1,0,0,0,,3,1,0,0,0,1,,0,,0,0,0,4,,0
ShinoSo95,1964,1,TAI,NL,0,0,9,0,0,0,,51,22,9,2,8,10,,4.76,,1,0,0,79,,10
stankjo01,1964,1,NAN,AL,26,7,47,33,15,6,,833,221,74,28,80,172,,2.4,,8,3,0,1117,,93
stonede01,1964,1,TAI,NL,0,0,6,1,0,0,,36,14,5,0,7,11,,3.75,,0,1,0,56,,5
SugimIs95,1964,1,NIS,AL,0,2,25,0,0,0,,133,47,21,5,10,24,,4.26,,1,1,0,188,,25
SugiuTa95,1964,1,NAN,AL,20,15,56,33,9,1,,812,253,91,28,52,162,,3.03,,1,9,0,1100,,103
SuzukKi95,1964,1,KOK,NL,1,1,22,0,0,0,,85,23,11,2,12,15,,3.49,,0,4,0,120,,13
SuzukTa91,1964,1,TAI,NL,9,8,70,15,0,0,,453,147,54,11,47,61,,3.22,,0,2,0,627,,59
TadokZe95,1964,1,KOK,NL,0,1,11,0,0,0,,36,11,6,3,8,2,,4.5,,0,0,0,54,,6
TakahAk98,1964,1,YOM,NL,12,14,35,25,10,2,,543,190,61,17,27,90,,3.03,,1,1,1,742,,71
TakahEi95,1964,1,NAN,AL,2,4,28,0,0,0,,170,54,23,4,20,16,,3.65,,0,0,0,243,,36
TakahSh95,1964,1,TAI,NL,17,11,38,34,12,4,,644,179,66,13,78,154,,2.77,,2,12,2,890,,78
TanabOs95,1964,1,KIN,AL,0,0,1,0,0,0,,5,2,0,0,1,0,,0,,0,0,0,9,,2
TanakMi97,1964,1,TOE,AL,2,1,48,0,0,0,,203,58,22,5,25,55,,2.93,,1,4,0,283,,28
TanakTs95,1964,1,NIS,AL,15,15,52,27,8,2,,696,211,85,19,102,126,,3.3,,4,4,0,978,,95
TanebYo95,1964,1,YOM,NL,1,0,24,0,0,0,,176,46,16,6,11,31,,2.45,,0,2,0,227,,16
TodaYo96,1964,1,HNK,AL,0,2,8,0,0,0,,39,16,8,2,4,15,,5.54,,0,0,0,57,,9
TokuhTo95,1964,1,KIN,AL,13,23,66,29,5,1,,757,273,96,22,52,96,,3.42,,0,2,2,1059,,119
TominKa95,1964,1,TOE,AL,0,0,22,0,0,0,,125,43,12,1,11,29,,2.59,,1,0,0,178,,19
TomisGo95,1964,1,NAN,AL,0,0,1,0,0,0,,1,2,1,0,0,0,,27,,0,0,0,2,,1
TsuboTa95,1964,1,HIR,NL,0,0,1,0,0,0,,6,2,0,0,0,1,,0,,0,0,0,8,,0
TsujiKi95,1964,1,TOK,AL,0,0,3,0,0,0,,17,11,9,1,4,5,,14.29,,0,0,0,32,,12
TsumaYo95,1964,1,TOK,AL,6,5,56,15,2,2,,454,117,36,13,39,93,,2.14,,0,3,0,598,,48
UkariMi95,1964,1,HIR,NL,9,10,49,22,4,1,,509,189,65,18,39,47,,3.45,,0,3,0,717,,78
WakoTa95,1964,1,NIS,AL,5,5,41,15,3,0,,403,134,68,17,52,90,,4.56,,3,11,0,580,,75
WakoTo95,1964,1,HAN,NL,5,6,33,9,4,1,,299,76,35,13,26,43,,3.16,,0,5,0,400,,39
WatanHi97,1964,1,YOM,NL,2,5,15,11,2,1,,184,66,35,10,22,23,,5.14,,1,0,0,260,,36
WatanKa97,1964,1,HNK,AL,0,0,1,0,0,0,,3,0,0,0,0,0,,0,,0,0,0,3,,0
WatanSh97,1964,1,HAN,NL,6,3,34,4,2,0,,255,88,27,7,12,29,,2.86,,0,0,0,344,,35
YagiTa95,1964,1,HIR,NL,0,0,5,0,0,0,,15,3,4,1,7,1,,7.2,,1,0,0,25,,4
YamamSh95,1964,1,KIN,AL,12,13,63,23,4,1,,619,203,79,12,79,154,,3.45,,4,6,0,881,,96
YamamYo95,1964,1,TOE,AL,2,1,19,3,1,0,,125,32,11,2,8,27,,2.38,,1,0,0,164,,13
YamanTa95,1964,1,CHU,NL,7,7,30,16,2,1,,314,102,43,13,46,52,,3.7,,1,0,1,454,,56
YanoAk96,1964,1,CHU,NL,0,0,1,0,0,0,,3,0,0,0,2,0,,0,,0,0,0,4,,0
YasuoMa95,1964,1,TOK,AL,0,0,1,0,0,0,,2,0,0,0,0,0,,0,,0,0,0,1,,0
YodaYo95,1964,1,NIS,AL,7,18,60,25,7,1,,668,211,79,18,79,91,,3.19,,0,4,2,934,,96
YonedTe95,1964,1,HNK,AL,21,16,60,39,14,4,,959,268,90,25,81,180,,2.53,,0,9,0,1290,,110
YoshiKa95,1964,1,KIN,AL,0,0,1,0,0,0,,0,0,1,0,3,0,,NULL,,0,0,0,3,,1
YoshiSa95,1964,1,TOE,AL,0,3,9,0,0,0,,39,16,11,1,9,5,,7.62,,0,1,0,65,,11
AbeKa95,1965,1,NIS,AL,4,6,40,0,0,0,,270,92,36,11,21,27,,3.6,,2,1,0,378,,41
AdachMi95,1965,1,HNK,AL,15,9,31,20,10,4,,513,146,29,14,35,104,,1.53,,0,11,0,684,,52
AkimoYu95,1965,1,HNK,AL,2,4,32,8,1,0,,239,75,16,8,15,56,,1.81,,0,2,0,317,,24
AkiyaNo95,1965,1,TAI,NL,5,5,39,10,1,0,,310,98,31,8,30,41,,2.7,,1,2,0,420,,34
