AkamaIc95,1983,1,HAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkamaMa80,2005,1,HAN,NL,161,395,68,96,14,1,7,25,23,3,25,75,0,7,20,1,4,0
AkamaRy95,1953,1,OSA,NL,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkamiKe95,1979,1,YOM,NL,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AkaneHi95,1948,1,KYU,0,22,33,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0
AkasaMi95,1971,1,YAK,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkashKe95,2004,1,FDH,AL,51,70,13,15,3,2,0,5,1,0,3,25,0,1,2,2,1,0
AkashKo95,1947,1,HNK,0,192,386,43,86,10,5,0,17,11,11,18,41,0,2,17,0,6,0
AkibaKe95,1969,1,NIS,AL,29,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AkiedJu95,1947,1,GOL,0,5,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
AkimiSh95,1955,1,OSA,NL,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkimoHa95,1967,1,CHU,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkimoKo95,1990,1,TAI,NL,573,1069,80,230,44,4,16,108,9,5,105,248,18,4,32,10,20,0
AkimoTa95,1954,1,HNK,AL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AkimoYu95,1956,1,HNK,AL,496,271,7,22,1,0,1,6,0,0,5,110,0,0,17,0,2,0
AkimuNo95,1990,1,HIR,NL,182,22,0,2,0,0,0,0,0,0,0,13,0,0,4,0,1,0
AkitaHi95,1980,1,CHU,NL,35,36,2,5,0,0,0,0,0,0,2,14,0,1,1,0,0,0
AkiyaKo95,1981,1,SEI,AL,2189,7997,1231,2157,377,41,437,1312,303,116,910,1712,43,75,20,61,191,0
AkiyaNo95,1956,1,TAI,NL,645,913,38,119,25,3,6,62,0,2,18,298,0,0,74,6,16,0
AkiyaSh95,1969,1,KIN,AL,113,127,16,22,4,1,2,8,4,2,7,43,0,1,2,0,3,0
AkiyaTa95,1953,1,STR,AL,34,39,1,7,0,0,0,1,0,0,1,8,0,0,0,0,0,0
AkuneKo95,1999,1,NHF,AL,161,303,40,70,8,2,3,18,2,2,18,93,0,6,9,1,3,0
AkutsYo95,1956,1,CHU,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AlexaRo95,1959,1,TOE,AL,13,16,0,3,0,0,0,2,0,0,1,5,0,0,0,0,0,0
AllenCh01,2007,1,ORX,AL,78,290,28,83,14,1,4,34,2,1,8,54,0,0,0,2,10,0
allenki01,1982,1,HAN,NL,125,381,64,101,17,5,5,26,34,14,29,30,1,9,10,1,6,0
allenro02,1989,1,HIR,NL,246,779,102,224,34,2,45,133,6,4,76,151,5,10,1,6,21,0
AlmonEr01,2005,1,NHF,AL,34,88,14,17,2,0,3,8,2,1,17,27,0,1,1,0,2,0
almonhe01,2001,1,YOM,NL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alouma01,1974,1,TAH,AL,262,913,85,258,51,2,14,75,9,10,43,77,4,4,15,3,12,0
altmage01,1968,1,TOK,AL,935,3183,452,985,163,11,205,656,31,24,353,360,64,23,4,45,50,0
AmakaSe95,1939,1,YAM,0,35,56,2,12,1,0,0,3,0,0,2,12,0,0,0,0,0,0
AmamoHi95,1963,1,HIR,NL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmanoKo95,2002,1,HIR,NL,121,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AmanoTa95,1939,1,NAG,0,30,30,1,3,1,0,0,5,1,0,3,3,0,0,0,1,0,0
AmanoYu95,1999,1,LOT,AL,25,46,1,3,2,0,1,3,0,0,0,16,0,0,0,0,4,0
AmayaSo95,2004,1,HIR,NL,184,444,59,113,8,2,5,27,17,5,40,92,0,6,13,2,2,0
AmemiKa95,1968,1,KIN,AL,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AmmanGe95,1974,1,HNK,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AnabuYo95,1956,1,NAN,AL,1166,3079,352,814,162,19,89,404,25,14,198,570,11,13,13,28,93,0
AnanJu95,1956,1,HIR,NL,1415,3426,227,746,95,14,34,254,43,34,221,360,5,9,60,24,87,0
andersc01,1991,1,CHU,NL,57,85,3,7,1,0,1,4,0,1,2,42,0,0,8,0,0,0
AndoEi95,1961,1,HNK,AL,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndoHa95,1959,1,HNK,AL,243,192,20,32,5,1,2,10,2,1,7,54,0,0,19,1,1,0
AndoIs95,1964,1,HIR,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndoJu95,1954,1,TOE,AL,1078,2389,143,502,72,8,18,196,11,11,102,342,13,11,52,10,70,0
AndoMa95,1994,1,LOT,AL,36,44,8,10,1,0,0,2,1,1,2,11,0,0,2,0,0,0
AndoMo95,1962,1,TOE,AL,73,85,5,7,1,0,0,2,0,0,2,33,0,0,4,0,3,0
AndoMo96,1962,1,HAN,NL,922,2064,223,457,54,8,33,138,56,41,134,285,6,26,98,5,52,0
AndoSh95,1990,1,SEI,AL,73,79,6,22,5,0,0,17,0,1,16,18,0,0,1,3,6,0
AndoTo95,1962,1,NIS,AL,41,9,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AndoYu95,1937,2,LIO,0,6,15,2,3,0,0,0,0,1,0,2,1,0,0,1,0,0,0
AndoYu96,2002,1,HAN,NL,215,155,8,19,1,0,0,5,0,0,1,73,0,1,16,0,1,0
andremi01,1975,1,KIN,AL,123,389,31,90,12,1,12,40,2,1,28,43,0,0,3,2,11,0
AniyaSo95,1964,1,HIR,NL,658,541,17,72,9,0,0,18,2,0,14,155,0,2,28,0,10,0
AnoKo95,1970,1,YOM,NL,89,148,12,33,1,0,5,14,1,0,11,18,1,3,0,1,2,0
anthoer01,1998,1,YAK,NL,44,151,20,37,6,0,12,31,0,1,18,53,0,0,0,0,5,0
AoiKa95,1984,1,NAN,AL,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AoikeYo95,1950,1,KIN,AL,159,395,34,82,9,0,7,28,6,1,34,34,0,1,6,0,8,0
AokiHa95,2000,1,SEI,AL,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AokiHi95,1985,1,TAI,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AokiHi96,1960,1,YOM,NL,52,32,1,2,0,0,0,0,0,0,1,15,0,0,1,0,0,0
AokiKa95,1967,1,HIR,NL,10,13,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0
AokiKo95,1939,1,TSN,0,148,394,35,72,18,7,2,32,3,0,45,75,0,2,6,0,0,0
AokiMi95,1976,1,YAK,NL,558,577,137,132,17,6,2,26,79,32,33,119,1,3,19,3,9,0
AokiNo95,2004,1,YAK,NL,555,2203,412,744,107,14,50,212,119,25,228,310,23,31,27,8,22,0
AokiSh95,1939,1,OSA,0,36,47,6,9,2,0,0,5,0,0,9,13,0,0,0,0,0,0
AokiTa80,2007,1,HIR,NL,57,39,1,3,1,0,0,0,1,0,1,13,0,0,6,0,1,0
AokiTa95,1955,1,YOM,NL,19,9,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0
AokiTs95,1955,1,UNI,AL,172,256,23,38,11,2,1,13,2,1,34,54,0,2,7,1,6,0
AomatKe80,2006,1,LOT,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AonoSh95,1962,1,TOE,AL,1055,3014,332,785,126,11,45,262,31,20,240,353,11,32,142,29,72,0
AonoTa95,2002,1,LOT,AL,141,438,52,113,20,5,16,57,3,2,19,106,0,6,11,4,11,0
AoshiKe95,1936,2,KYO,0,29,33,5,8,2,1,0,9,0,0,10,6,0,0,0,0,0,0
AoshiKe96,1985,1,YAK,NL,96,82,13,15,3,0,2,5,0,1,8,28,2,1,0,0,1,0
AotaNo95,1942,1,KYO,0,1709,6566,898,1827,296,34,265,1034,155,80,443,593,21,24,8,9,118,0
AoyagSu95,1989,1,LOT,AL,596,1196,110,278,68,2,26,140,1,2,93,324,2,14,36,7,23,0
AoyamHi95,1956,1,STR,AL,90,43,1,4,1,0,0,0,0,0,4,18,0,1,4,0,0,0
AoyamHi96,1953,1,KOK,NL,347,744,74,155,17,3,8,43,30,10,49,121,0,6,12,2,13,0
AoyamHi97,1976,1,CHU,NL,206,83,2,5,2,0,0,2,0,0,1,49,0,0,6,0,2,0
